"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-09","63",",,7","45",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-10","60",",,7","49",",,7","54",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-11","62",",,7","54",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-12","62",",,7","52",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-13","64",",,7","52",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-14","58",",,7","53",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-15","59",",,7","55",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-16","60",",,7","51",",,7","58",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-17","63",",,7","46",",,7","60",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-18","75",",,7","52",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-19","69",",,7","55",",,7","55",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-20","60",",,7","52",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-21","59",",,7","47",",,7","53",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-22","57",",,7","45",",,7","56",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-23","59",",,7","49",",,7","57",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-03-24","64",",,7","51",",,7","63",",,7,1600"
